image_id,final_date,review_note_draft
994,NONE-02-18,"인쇄: 02.18까지 / 15:49.F1A / 판정: NONE-02-18 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없고, 시간이 같이 적혀 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
1030,2022-10-NONE,"인쇄: 98DBKA1 / 10 2022 / 판정: 2022-10-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한이며 위에 다른 숫자+영어가 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1070,NONE-01-24,"인쇄: 01.24 A / 판정: NONE-01-24 / 근거: ""01.24 A""는 요거트 월.일 표기(1월 24일). 연도 미인쇄 (검수 메모: Year 없는 소비기한) / 기존라벨: 기존300 없음, 신규 틀림(2024-01-NONE) / 오류유형: 신규 라벨 형식 오해(월.일을 월.연도=2024년 1월로 해석) / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 01.24가 MM.DD와 MM.YY 둘 다로 읽힘 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
1071,NONE-01-24,"인쇄: 01.24 A / 판정: NONE-01-24 / 근거: 1070과 같은 제품. ""01.24 A"" = 1월 24일 (검수 메모: 1070이랑 같은 사진인데 훨씬 밝고 빛반사가 심함) / 기존라벨: 기존300 없음, 신규 틀림(2024-01-NONE) / 오류유형: 신규 라벨 형식 오해(월.일을 월.연도=2024년 1월로 해석) / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 01.24가 MM.DD와 MM.YY 둘 다로 읽힘 + 과노출 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
1131,NONE-02-12,"인쇄: 유통기한 / 02.12.12:53.HA / 까지 / 판정: NONE-02-12 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없으며 매우 빛이 밝음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 날짜 순서(월/일, 연/일)가 모호하다고 자동 표시; 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
1172,2021-09-NONE,"인쇄: Best before end: / 2021.09 / > LJG081446133 / 판정: 2021-09-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1173,2021-09-NONE,"인쇄: Best before end: / 2021.09 / > LJG081446133 / 판정: 2021-09-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 1172랑 같은 사진인데 약간 휘어져 있음) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
1205,2021-05-NONE,"인쇄: 05.21 L095 2 / Mindestens haltbar bis Ende: Monat/Jahr / 판정: 2021-05-NONE / 근거: 아래 문구 ""Mindestens haltbar bis Ende: Monat/Jahr""(월/연도 말까지)가 형식을 명시 / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음(검수 초안 NONE-05-21은 수정함) / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 05.21이 5월 21일(MM.DD)과 2021년 5월(MM.YY) 둘 다로 읽힘 / Parser: Parser 문제 - 월.2자리연도(MM.YY) 미지원 - 형식 안내 문구(Monat/Jahr) 미활용 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
1294,2021-11-NONE,"인쇄: BEST BY NOV2021 / 0282 FTX 1 43 12:11 / 판정: 2021-11-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: BEST BY NOV 2021로 Day가 없고 month가 영어로) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
1295,2021-11-NONE,"인쇄: BEST BY NOV2021 / 0282 FTX 1 43 12:11 / 판정: 2021-11-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 1294랑 같은 사진인데 휘어짐) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
1384,2018-09-NONE,"인쇄: 161752115 / 09-2018 / Parti no/Son kul. ta.: / 판정: 2018-09-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
1830,2020-12-NONE,"인쇄: 004CG4CB19 BB 12/2020 / 판정: 2020-12-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: BB로 시작, 12/2020 로 거꾸로 써져 있고 Day없음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1867,2022-07-NONE,"인쇄: BEST BY JUL 2022 / A203111422 22:36 / 판정: 2022-07-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: BEST BY JUL 2022, Day 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1868,2022-07-NONE,"인쇄: BEST BY JUL 2022 / A203111422 22:36 / 판정: 2022-07-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 1867이랑 같은 사진인데 각도 조금 다르고, 더 밝음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1938,2021-03-NONE,"인쇄: 016CM4CB19 BB 03/2021 / 판정: 2021-03-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: BB로 시작하고 거꾸로 써져 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1953,2021-10-NONE,"인쇄: A consommer de préférence avant fin : / -- OCT. 2021 / 판정: 2021-10-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없고 거꾸로, OCT로 적혀 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
1955,2021-10-NONE,"인쇄: à consommer de préférence avant le : / -- OCT. 2021 / 판정: 2021-10-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 1953이랑 같은 사진인데 각도가 좀 더 선명해짐) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: OCR 추정 - 인쇄 글자로는 Parser 정답, 예선 v6 실제 실행은 NONE → 정서현 전달"
2034,2020-12-17,"인쇄: 17.12.20 / L352MW-- 12:14 / 판정: 2020-12-17 / 근거: 유럽 제품(Ferrero) DD.MM.YY 관행, 로트 L352(352번째 날=12월 17~18일)가 일.월.년 해석과 일치 (검수 메모: 17.12.20으로 적혀있어서 2020년인지 2017년인지 헷갈리지만, 1) 유럽 제품이라는 점, 2) 코드번호 L352가 12월 17일 혹은 12월 18일을 뜻한다는 점 에 의해 2020년으로 판단) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 날짜 순서(월/일, 연/일)가 모호하다고 자동 표시 / 17.12.20이 2017-12-20(YY.MM.DD)과 2020-12-17(DD.MM.YY) 둘 다 가능 / Parser: Parser 문제 - 2자리 연도 순서(DD.MM.YY를 YY.MM.DD로 해석) (인쇄 글자 입력 시 현재 Parser 결과: 2017-12-20)"
2051,NONE-04-14,"인쇄: 유통기한 04.14 까지 / Expiry Date 13:45 JK / 판정: NONE-04-14 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
2055,2021-12-NONE,"인쇄: Best before end: / 12 2021 / L5640 305 06:39 / 판정: 2021-12-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Best before end: 로 적혀 있고, Day 없이 거꾸로 적힘) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2062,2023-02-NONE,"인쇄: LOT 502337-04 / EXP 02/2023 / 판정: 2023-02-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: EXP, Day 없이 거꾸로) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
2063,2023-02-NONE,"인쇄: LOT 502337-04 / EXP 02/2023 / 판정: 2023-02-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 2062랑 같은 사진인데 가로로 더 넓어지고 밝아짐) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2152,2019-07-11,"인쇄: 19.06.12 부터 / 19.07.11 B 까지 / 판정: 2019-07-11 / 근거: 한국 제품 연.월.일 순. ""19.06.12 부터"" / ""19.07.11 까지"" 중 '까지' 줄이 소비기한 (검수 메모: 빛 반사 있음. 그리고 이건 한국꺼로 연 월 일 순으로 읽음) / 기존라벨: 기존300 없음, 신규 일부 틀림(year/month/day는 맞음, final_date를 2021-07-19로 기록) / 오류유형: 신규 라벨 final_date 기록 오류(component는 2019-07-11인데 final_date를 2021-07-19로 기록) / 왜 검수대상·애매: 신규 라벨의 year/month/day와 final_date가 서로 다름; 이전 이미지 확인 대상(판정 미확정) / 빛 반사로 일자 11 일부가 가려짐 + 부터/까지 두 날짜 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2159,NONE-04-13,"인쇄: 04.13 D0932 / 판정: NONE-04-13 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
2217,2023-05-NONE,"인쇄: BEST BEFORE END / MAY 2023 / L0148 16:15 / 판정: 2023-05-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없고, 거꾸로, 5월 -> May로 적힘) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2265,NONE-03-05,"인쇄: 03.05 10:14 C2 / 판정: NONE-03-05 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 날짜 순서(월/일, 연/일)가 모호하다고 자동 표시; 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
2278,2023-07-NONE,"인쇄: BEST BY JUL 2023 / 0189 / 판정: 2023-07-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한, 아래에 헷갈리는 4자리 숫자 있음) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: OCR 추정 - 인쇄 글자로는 Parser 정답, 예선 v6 실제 실행은 NONE → 정서현 전달"
2281,2022-07-NONE,"인쇄: 07.2022 / 판정: 2022-07-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한이며 07.2022로 거꾸로 적힘) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2310,NONE-03-13,"인쇄: 03.13. 13:47 까지 F5 / 03.01. 13:47 부터 A / 판정: NONE-03-13 / 근거: ""03.13. 13:47 까지""가 소비기한, 아래 ""03.01. 부터""는 제외. 연도 미인쇄 (검수 메모: 제조기한이랑 소비기한 둘 다 있어서 미래 날짜 선택해야 함. 소비기한이 더 위에 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 부터/까지 두 날짜 + 시각 숫자 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
2345,NONE-02-12,"인쇄: 02.12까지 12C52D / 판정: NONE-02-12 / 근거: 연도 미인쇄, 월.일만 표기 (검수 메모: Year이 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 날짜 순서(월/일, 연/일)가 모호하다고 자동 표시; 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: Parser 문제 - 연도 없는 월.일(MM.DD) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
2410,2022-04-NONE,"인쇄: 04.2022 / 판정: 2022-04-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한이며 04.2022로 거꾸로 적힘) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2455,2023-02-NONE,"인쇄: 02.2023 / L 303189 / 1802 0745 / 판정: 2023-02-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: 02.2023 로 적혀있고 바로 아래에 숫자가 많아서 헷갈릴 수 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2458,2022-04-NONE,"인쇄: K26560-28118-F / 유통기한:2022. 04 / 판정: 2022-04-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없고, 그림자 때문에 잘 안 보임) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2464,2022-05-NONE,"인쇄: (B)54859 EXP 05/2022 / 판정: 2022-05-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: EXP로 시작, 05/2022 로 거꾸로 + Day 없음, 빛 반사 있음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2480,2022-07-NONE,"인쇄: 제조번호: / 3192B / 2022.07 / 판정: 2022-07-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
2521,2023-10-02,"인쇄: 02/10/2023 / 판정: 2023-10-02 / 근거: ""02/10/2023""을 일/월/년(외국식) 순으로 판정 [확인 필요: 일/월/년으로 본 근거] / 기존라벨: 기존300 맞음, 신규 틀림(2023-10-01) / 오류유형: 신규 라벨 일자 오류(01로 기록) / 왜 검수대상·애매: 기존 300 라벨과 신규 라벨이 서로 다름; 이전 이미지 확인 대상(판정 미확정) / 02/10은 2월 10일(MM/DD)과 10월 2일(DD/MM) 모두 가능 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
2586,2022-12-NONE,"인쇄: Batch No: 652332 / Exp.Date: 12/22 / 판정: 2022-12-NONE / 근거: ""Exp.Date: 12/22"" = 2022년 12월(월/2자리 연도) (검수 메모: Day 없는 소비기한) / 기존라벨: 기존300 맞음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / 12/22가 12월 22일(MM/DD)로도 읽힘 / Parser: Parser 문제 - 월/2자리연도(MM/YY) 미지원 (인쇄 글자 입력 시 현재 Parser 결과: NONE)"
2613,2023-04-NONE,"인쇄: L30408J 04-2023 / 판정: 2023-04-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: Day 없는 소비기한) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2657,2021-07-01,"인쇄: DA CONSUMARSI PREFERIBILMENTE ENTRO IL: / L19173 A / 01/07/21 / 판정: 2021-07-01 / 근거: 이탈리아 제품 일/월/년. ""01/07/21"" = 2021년 7월 1일 (검수 메모: 거꾸로 적히고 두 글자씩만 적힘) / 기존라벨: 기존300 없음, 신규 틀림(2001-07-01) / 오류유형: 신규 라벨 연도 오류(2자리 연도 21을 2001로 기록) / 왜 검수대상·애매: 연도가 비정상 범위(2001) / 2자리 연도 표기 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2749,2020-12-NONE,"인쇄: (21)145G0V1T99XY2A / (17) S.K.T. :12.2020 / (10) 9LB00463 / 판정: 2020-12-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: S.K.T : 로 시작하고 그 뒤에 소비기한이 적혀 있음 위아래로 숫자 많음) / 기존라벨: 기존300 없음, 신규 맞음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답 (예선 v6 실행 기록 없음, OCR 미검증)"
2752,2022-01-NONE,"인쇄: EXP:01.2022 / G.1.207 4 / 판정: 2022-01-NONE / 근거: 일 미인쇄, 월·연도만 표기 (검수 메모: EXP: 01. 2022, Day 없는 소비기한) / 기존라벨: 기존300 맞음, 신규 없음 / 오류유형: 라벨 오류 없음 / 왜 검수대상·애매: 연·월·일 중 일부가 NONE인 부분 NONE 사례 / Parser: 문제 없음 - 현재 Parser 정답, 예선 v6 실제 실행도 정답"
